city,state_id,state_name,country_name,population,zips
ORONO,MN,MINNESOTA,HENNEPIN,8339,55391 55356 55323
CLOVER,SC,SOUTH CAROLINA,YORK,8335,29710
PETOSKEY,MI,MICHIGAN,EMMET,8334,49770
HARWOOD HEIGHTS,IL,ILLINOIS,COOK,8333,60706
ST. JOSEPH,MI,MICHIGAN,BERRIEN,8317,49085
HOLLY,MI,MICHIGAN,OAKLAND,8313,48442
FROSTPROOF,FL,FLORIDA,POLK,8312,33843
MAHTOMEDI,MN,MINNESOTA,WASHINGTON,8294,55110 55115
WEST VERO CORRIDOR,FL,FLORIDA,INDIAN RIVER,8292,32966
SAVANNAH,TN,TENNESSEE,HARDIN,8288,38372
SOUTHEAST ARCADIA,FL,FLORIDA,DESOTO,8272,34266
PAW PAW,MI,MICHIGAN,VAN BUREN,8270,49079
LAKE CITY,SC,SOUTH CAROLINA,FLORENCE,8268,29560
HALF MOON,NC,NORTH CAROLINA,ONSLOW,8243,28546 28540
LUGOFF,SC,SOUTH CAROLINA,KERSHAW,8243,29078
FORT MITCHELL,KY,KENTUCKY,KENTON,8241,41011 41017
MANHATTAN,IL,ILLINOIS,WILL,8240,60442
NORTH WEEKI WACHEE,FL,FLORIDA,HERNANDO,8238,34613
CHESTER,IL,ILLINOIS,RANDOLPH,8213,62233 62259
TEMPERANCE,MI,MICHIGAN,MONROE,8201,48182
LAKE NORMAN OF CATAWBA,NC,NORTH CAROLINA,CATAWBA,8196,28037 28682 28673
JEFFERSON CITY,TN,TENNESSEE,JEFFERSON,8194,37760
WEDGEFIELD,FL,FLORIDA,ORANGE,8180,32833
CENTER LINE,MI,MICHIGAN,MACOMB,8171,48015
VENICE GARDENS,FL,FLORIDA,SARASOTA,8171,34293
BROADVIEW PARK,FL,FLORIDA,BROWARD,8169,33317
BEEBE,AR,ARKANSAS,WHITE,8168,72012
BLACK MOUNTAIN,NC,NORTH CAROLINA,BUNCOMBE,8162,28711 28770
MINNETRISTA,MN,MINNESOTA,HENNEPIN,8130,55331 55364 55375 55359
HARRISON,TN,TENNESSEE,HAMILTON,8121,37416 37341
HAZARD,KY,KENTUCKY,PERRY,8118,41701 41702
SUMMIT PARK,UT,UTAH,SUMMIT,8118,84098
WEST DUNDEE,IL,ILLINOIS,KANE,8113,60118
SHOREWOOD,MN,MINNESOTA,HENNEPIN,8084,55331 55364
