city,state_id,state_name,country_name,population,zips
LAUREL BAY,SC,SOUTH CAROLINA,BEAUFORT,6124,29906
ISANTI,MN,MINNESOTA,ISANTI,6120,55040
PRINCETON,KY,KENTUCKY,CALDWELL,6115,42445
BARTONVILLE,IL,ILLINOIS,PEORIA,6113,61607 61641
PAULS VALLEY,OK,OKLAHOMA,GARVIN,6110,73075
MUNFORD,TN,TENNESSEE,TIPTON,6109,38058
STEWARTVILLE,MN,MINNESOTA,OLMSTED,6094,55976
HARLAN,KY,KENTUCKY,HARLAN,6089,40831
BARBOURVILLE,KY,KENTUCKY,KNOX,6036,40906
UNION,KY,KENTUCKY,BOONE,6034,41091
CHILLICOTHE,IL,ILLINOIS,PEORIA,6012,61523
METROPOLIS,IL,ILLINOIS,MASSAC,6008,62960
DAVENPORT,FL,FLORIDA,POLK,6005,33844 33837 33836
WILLIAMSBURG,KY,KENTUCKY,WHITLEY,6002,40769
